Groutability (Train)
X1	X2	X3	X4	X5	X6	X7	X8	
37	52	5.002851958	1.132189	0.559058085	0.216	4.65	1	
30	45	3.002855543	1.162331752	0.589116954	0.5402	3.34	1	
12	27	10.002843	3.906919268	0.69933281	0.299	4	1	
3.3	4	14.85131916	0.238635367	0.769470173	0.873	4	0	
18	35	11.66950668	2.049469013	0.639215071	0.236	4	1	
54	75	2.410264012	1.154696927	0.559058085	0.201	4	1	
72	87	5.141740598	0.635269414	0.539018838	0.107	4	1	
13	24	8.079769521	4.457775797	0.679293564	0.285	4.65	0	
19	30	6.318639074	2.211745975	0.72939168	0.31	3.34	1	
22	41	8.184664438	2.046246522	0.659254317	0.199	4	1	
40	61	3.202855184	1.513327122	0.66927394	0.179	4	1	
11	21	9.548298357	4.614475419	0.719372057	0.305	4	1	
0.8	1.5	76.25272426	1.063151893	0.889705651	0.925	4	0	
28	41	6.431420827	1.537333476	0.679293564	0.224	4.65	1	
0.8	1.2	40.00278923	0.507143479	0.959843014	0.99	4	0	
48	73	6.877848598	1.067775698	0.599136578	0.155	4	1	
21	62	5.24094677	2.911557422	0.398744113	0.18	4.65	1	
0.6	1	85.00270858	0.577359437	0.879686028	0.887	4.65	0	
6.2	8.8	11.29316327	1.116060695	0.749430926	0.626	4	0	
21	40	10.71712743	1.792131487	0.629195447	0.212	4	1	
11	21	9.093753717	1.455376399	0.739411303	0.428	4	0	
11	23	9.548298357	4.243071341	0.649234694	0.312	4.65	0	
21	40	5.717136392	2.540441925	0.709352433	0.243	4	1	
2.5	2.9	11.20284085	0.330048015	0.879686028	0.985	4.65	0	
6.5	18	38.46433045	4.98521354	0.599136578	0.27	3.34	0	
34	63	3.738148343	1.794231478	0.518979592	0.193	4	1	
12	27	9.002844789	4.340918424	0.679293564	0.302	4.65	1	
23	41	4.785461044	2.530404316	0.639215071	0.247	4	1	
19	32	5.792324228	2.911739683	0.609156201	0.262	4	1	
0.28	0.5	164.2882808	0.699638548	0.989901884	0.993	4.65	0	
80	108	6.127849942	1.021267736	0.569077708	0.085	4.65	1	
3.2	3.9	15.94033236	0.228914279	0.919764521	0.973	4	0	
11	21	8.275573366	3.478220017	0.69933281	0.339	4	1	
7.2	11	13.89172492	5.000597141	0.72939168	0.36	4	1	
11	20	9.548298357	3.222359435	0.719372057	0.355	4	0	
1	6	220.0024666	5.891447481	0.619175824	0.406	3.34	0	
2.2	8	77.2754497	4.495282872	0.659254317	0.394	3.34	0	
13	31	8.387461277	4.184842894	0.69933281	0.281	4.65	1	
74	94	5.002851958	0.822640386	0.569077708	0.094	4	1	
11	29	8.54830015	3.142885999	0.739411303	0.371	4	0	
25	50	12.80283798	2.048791809	0.659254317	0.211	4	1	
15	28	11.33617394	2.510565277	0.629195447	0.268	4.65	1	
19	34	5.792324228	3.062925885	0.679293564	0.25	4.65	1	
26	41	4.502852854	2.211169003	0.679293564	0.218	4	1	
3.4	5.4	20.00282508	0.02	0.719372057	0.796	4	0	
1.2	2	25.41948203	0.827375092	0.899725275	0.98	4.65	0	
1.2	1.6	28.33614347	0.454083253	0.929784144	0.985	4	0	
75	89	4.536186128	0.663628257	0.599136578	0.098	4.65	1	
0.3	0.5	170.0025562	0.513311373	0.979882261	0.992	4	0	
74	80	2.165019206	0.812022021	0.569077708	0.1	4	1	
9	22	11.33617394	5.647613295	0.72939168	0.317	4.65	1	
11	22	9.548298357	4.004126061	0.66927394	0.328	4	0	
15	24	6.669515638	3.553359251	0.619175824	0.297	4.65	1	
21	39	6.193326015	2.463768105	0.579097331	0.239	4	1	
61	80	5.248753157	0.840215776	0.619175824	0.129	4	1	
13	30	6.925925435	4.555327361	0.69933281	0.426	4.65	1	
38	58	5.792324228	2.022324655	0.537477358	0.181	4.65	1	
58	76	5.692505895	0.883836244	0.619175824	0.142	4	1	
30	48	12.66950488	1.97448092	0.35	0.211	4.65	1	
3	4.4	21.00282328	1.037895514	0.769470173	0.795	4.65	0	
51	71	2.473444727	1.233494192	0.659254317	0.149	4	1	
17	40	6.06167359	3.475283685	0.69933281	0.258	4	1	
9	18	10.44728665	5.14952349	0.769470173	0.431	4	0	
16	30	10.002843	2.31678976	0.719372057	0.284	4	1	
5.8	11	15.00283404	1.340513509	0.66927394	0.5582	3.34	0	
8	12	12.62783829	6.416345358	0.639215071	0.303	4.65	1	
70	80	5.145708845	0.525693843	0.559058085	0.115	4	1	
0.28	0.5	164.2882808	0.525736973	0.989901884	0.99	4	0	
30	46	3.836187383	1.949783846	0.579097331	0.216	4.65	1	
21	29	12.38379111	1.355416291	0.66927394	0.249	4.65	1	
22	37	9.093753717	1.801035421	0.619175824	0.226	4	1	
13	22	10.002843	3.153973362	0.66927394	0.303	4	1	
0.11	0.23	581.82	27.84	0.839607535	0.935	4	0	
61	80	4.593016627	0.70931106	0.589116954	0.126	4	1	
22	42	13.54829119	1.263961322	0.619175824	0.242	4	1	
2	2.5	20.50282418	0.820872789	0.66927394	0.8593	3.34	0	
2.1	2.5	12.85998073	0.297379976	0.939803768	0.98	4.65	0	
64	80	4.924727098	0.69155592	0.579097331	0.124	4.65	1	
2.2	2.8	14.5482894	0.263551589	0.949823391	0.98	4.65	0	
50	76	2.70285608	1.20084773	0.579097331	0.154	4	1	
19	40	6.318639074	2.8077593	0.619175824	0.247	4	1	
6.1	11	16.39627416	2.623704714	0.689313187	0.393	4	0	
83	105	4.701647679	0.893669965	0.569077708	0.069	4	1	
8	16	12.25283896	1.389865877	0.719372057	0.397	4.65	0	
76	85	3.950222266	0.632464162	0.539018838	0.087	4.65	1	
8	15	12.87783784	3.671801278	0.689313187	0.348	4.65	0	
52	71	2.349010561	1.221527325	0.689313187	0.153	4	1	
38	46	3.687064843	1.115327054	0.922847482	0.292	4.65	1	
6	11	17.00283045	2.883089729	0.759450549	0.366	4.65	0	
11	21	9.366480501	4.202768027	0.679293564	0.312	4.65	0	
11	21	8.184664438	4.950095421	0.72939168	0.448	4	0	
7.2	10	9.169511157	3.89166354	0.789509419	0.691	4	0	
16	30	8.752845237	2.44540851	0.689313187	0.298	4	1	
18	31	5.94729471	3.323656851	0.689313187	0.249	4.65	1	
18	28	5.94729471	2.767618754	0.69933281	0.294	4.65	1	
48	77	2.607022919	1.667483623	0.649234694	0.126	4	1	
24	49	4.544519446	2.447248712	0.619175824	0.249	4	1	
2.8	7.2	164.2882808	3.485945478	0.665934066	0.305	4.65	0	
1.8	2.5	26.11392523	0.580084886	0.859646782	0.966	4.65	0	
11	20	9.002844789	2.48377506	0.689313187	0.347	4	0	
1.08	1.3	37.96575584	0.362239982	1.04	0.992	4.65	0	
30	59	7.33618111	1.577186547	0.619175824	0.194	4	1	
48	71	7.711180438	1.301741977	0.629195447	0.162	4	1	
13	28	9.233613607	4.001304069	0.709352433	0.274	4.65	1	
51	65	2.512660343	1.187123145	0.649234694	0.181	4.65	1	
16	36	6.377849494	3.922236885	0.689313187	0.247	4	1	
14	31	8.431417242	3.778522772	0.689313187	0.264	4	1	
0.2	0.4	300.0023233	0.564223048	1.04	0.996	4.65	0	
58	76	2.244236213	1.075126578	0.629195447	0.133	4	1	
7	12	17.14568734	3.219762204	0.69933281	0.4302	3.34	0	
30	51	10.5028421	1.400305475	0.569077708	0.202	4.65	1	
73	82	4.043949567	0.562765827	0.579097331	0.105	4	1	
37	41	2.975828564	0.827407984	0.817746539	0.416	4.65	1	
10	20	10.80284156	4.282126005	0.689313187	0.348	4	0	
10	21	48.00277489	4.688117749	0.530001177	0.24	3.34	1	
17	30	5.885203318	3.135426029	0.739411303	0.299	4	1	
13	27	8.464384216	3.727254543	0.72939168	0.299	4.65	1	
1.6	2.1	21.87782171	0.502500928	0.779489796	0.972	4	0	
10	21	11.00284121	2.851647953	0.72939168	0.286	4	0	
51	70	4.512656758	0.853385564	0.649234694	0.169	4.65	1	
19	31	6.318639074	2.8077593	0.719372057	0.258	4	1	
17	30	6.179320438	3.497054841	0.649234694	0.264	4	1	
1.5	2.6	44.66944753	1.433668197	0.569077708	0.862	4	0	
24	47	7.502847478	1.875803217	0.689313187	0.214	4.65	1	
29	51	7.58905422	1.327485146	0.639215071	0.204	4	1	
3	4.8	20.00282508	1.800808163	0.639215071	0.7102	3.34	0	
11	22	9.548298357	4.488942572	0.66927394	0.307	4	1	
0.1	0.2	520.001929	0.556659444	0.999921507	0.99	4.65	0	
21	48	5.717136392	2.669004875	0.649234694	0.202	4	1	
17	34	6.473437558	3.423161064	0.689313187	0.248	4.65	1	
25	40	12.4028387	1.423413697	0.609156201	0.243	4	1	
11	20	9.002844789	4.894084422	0.599136578	0.542	4.65	1	
15	27	7.202848015	3.472920112	0.709352433	0.296	4.65	1	
2	4.7	45.00278027	2.450765299	0.745423077	0.54	3.34	0	
0.9	1.3	48.89166219	0.384992444	0.939803768	0.989	4.65	0	
0.5	1	106.0026709	1.314425145	0.989901884	0.985	4.65	0	
0.83	1.2	34.94255734	0.42632465	0.989901884	0.994	4	0	
12	33	14.1695022	2.907107753	0.649234694	0.291	4	1	
11	17	9.366480501	3.962713249	0.739411303	0.317	4.65	1	
0.6	1	85.00270858	0.817866451	0.959843014	0.979	4.65	0	
13	31	8.464384216	4.476156203	0.749430926	0.245	4.65	1	
72	90	4.725074678	1.046609536	0.599136578	0.103	4.65	1	
85	125	3.885206902	1.220989004	0.549038462	0.07	4	1	
2.4	3	10.41950892	0.384901541	0.979882261	0.99	4.65	0	
21	31	6.193326015	2.286856695	0.639215071	0.268	4	1	
4.8	7	13.1278374	3.178627351	0.649234694	0.652	4.65	0	
1.1	1.6	36.36643211	0.592024245	0.849627159	0.949	4	0	
0.27	0.5	214.8172907	0.501532419	0.979882261	0.99	4	0	
1.2	1.8	40.83612107	0.443244632	0.829587912	0.96	4.65	0	
73	89	4.523400763	0.724166838	0.609156201	0.104	4	1	
1	5	110.0026638	13.12733392	0.599136578	0.417	3.34	0	
9.5	21	10.42389487	2.250645589	0.69933281	0.365	4.65	1	
30	50	8.336179318	2.254111602	0.539018838	0.188	3.34	1	
13	27	7.849000704	4.130367955	0.659254317	0.296	4.65	1	
48	94	7.711180438	2.253030592	0.561562991	0.139	4.65	1	
71	90	5.354964003	0.949715293	0.549038462	0.106	4.65	1	
2.5	3.1	16.00283224	0.33730468	0.909744898	0.98	4	0	
10.5	19	9.526653374	3.095008527	0.679293564	0.353	4	0	
13	20	8.848998911	3.093699487	0.719372057	0.317	4	1	
12	27	9.836176629	3.266248242	0.719372057	0.317	4	0	
1	1.5	33.00280178	0.535437068	0.949823391	0.978	4	0	
7	12	14.14569272	3.902545458	0.749430926	0.342	4.65	1	
31	61	5.809302126	1.452444041	0.66927394	0.191	4	1	
26	58	5.002851958	2.240128303	0.629195447	0.192	4	1	
8	13	12.50283852	4.205649567	0.739411303	0.332	4.65	1	
21	41	5.574279506	2.737417132	0.649234694	0.217	4	1	
25	60	5.122851743	2.205781456	0.659254317	0.199	4.65	1	
4.3	15	23.02607547	10.86232003	0.719372057	0.37	4.65	0	
23	50	7.39415202	2.072401505	0.629195447	0.201	4	1	
0.95	1.3	30.529122	0.581650816	1.029980377	0.995	4	0	
0.6	0.9	41.66945291	0.641551282	0.959843014	0.985	4	0	
32	58	6.81534871	1.405794076	0.609156201	0.175	4.65	1	
0.5	0.9	118.0026494	0.49038611	0.979882261	0.96	4	0	
12	23	8.16951295	4.532090623	0.72939168	0.378	4.65	1	
15	27	6.869515279	3.449890347	0.709352433	0.297	4.65	1	
11	16	9.093753717	3.273438318	0.709352433	0.33	4.65	1	
11	22	9.821025141	3.892926083	0.739411303	0.326	4.65	1	
13	29	10.002843	3.068180203	0.72939168	0.308	4	1	
7	12	58.57418452	1.47295522	0.569077708	0.3093	3.34	0	
28	47	4.288567524	1.953476666	0.719372057	0.211	4	1	
10	17	9.202844431	2.718138971	0.66927394	0.42	4	1	
6.3	10	19.05044583	6.481980927	0.619175824	0.292	4	1	
19	41	5.792324228	3.062925885	0.709352433	0.237	4	1	
15	38	8.202846223	3.645130977	0.599136578	0.251	4	1	
18	39	7.780624758	2.604326601	0.69933281	0.239	4.65	1	
8.5	13	11.76754572	3.060725073	0.69933281	0.348	4	0	
11	24	9.457389429	3.253334749	0.749430926	0.354	4	1	
42	71	4.288567524	1.144899039	0.679293564	0.168	4	1	
0.9	1.3	47.78055307	0.393924201	0.979882261	0.982	4.65	0	
11	27	9.457389429	4.658836463	0.679293564	0.305	4	1	
4.2	8	20.95520432	4.54878711	0.709352433	0.488	4.65	0	
7	11	14.14569272	2.54621355	0.739411303	0.388	4	0	
