NY Bedload transport preprocessing learning					
X1	X2	X3	X4	X5	Y
0.29	0.26	0.98	2.1	26	3.52
0.12	0.11	0.86	0.4	9.7	0.35
0.29	0.26	0.99	2.1	26.3	4.35
0.14	0.13	0.87	0.6	11.5	0.65
0.14	0.13	0.83	0.7	11	0.2
0.32	0.27	0.95	2.3	26.2	3.44
0.31	0.27	0.94	2.2	25.9	2.73
0.2	0.18	0.84	1.2	15.4	0.92
0.24	0.21	0.95	1.6	20.4	2.21
0.14	0.14	0.87	0.7	12.4	0.46
0.2	0.19	0.93	1.2	18	2.69
0.6	0.47	0.75	5	36	6.32
0.15	0.14	0.83	0.7	11.9	0.35
0.11	0.1	0.87	0.4	8.9	0.32
0.34	0.29	0.96	2.5	28.4	4.33
0.14	0.13	0.87	0.6	11.5	0.55
0.37	0.32	0.97	2.8	31.7	3.41
0.13	0.13	0.86	0.6	11.4	0.33
0.35	0.35	0.99	2.7	35.4	2.98
0.46	0.38	0.7	3.7	21.1	3.69
0.15	0.14	0.88	0.7	12.6	0.57
0.16	0.15	0.84	0.8	12.9	0.34
0.58	0.46	0.72	4.8	33.8	3.37
0.33	0.28	0.95	2.4	27.1	3.47
0.15	0.14	0.89	0.7	12.7	1.6
0.37	0.31	0.96	2.8	30.4	4.19
0.32	0.28	1	2.3	28.6	3.37
0.13	0.12	0.88	0.6	10.8	0.69
0.31	0.27	0.99	2.2	27.3	2.52
0.11	0.1	0.87	0.3	8.9	0.36
0.3	0.26	0.98	2.1	26	3.33
0.13	0.13	0.86	0.6	11.4	0.33
0.15	0.14	0.87	0.7	12.4	0.59
0.14	0.13	0.87	0.6	11.5	0.52
0.23	0.2	0.95	1.5	19.4	2.79
0.11	0.11	0.85	0.4	9.5	0.31
0.16	0.15	0.89	0.8	13.6	0.87
0.19	0.17	0.91	1.1	15.8	2.02
0.29	0.25	0.99	2	25.3	4.08
0.21	0.19	0.91	1.3	17.6	1.09
0.59	0.46	0.75	4.9	35.2	5.33
0.24	0.21	0.93	1.6	19.9	1.38
0.13	0.12	0.87	0.5	10.7	0.49
0.59	0.47	0.76	4.9	36.4	7.05
0.17	0.16	0.9	0.9	14.7	1.15
0.13	0.12	0.88	0.5	10.8	0.94
0.14	0.13	0.88	0.6	11.7	0.94
0.33	0.29	0.99	2.5	29.3	4.16
0.22	0.19	0.94	1.4	18.2	2.68
0.5	0.41	0.71	4.1	29.7	4.66
0.2	0.18	0.92	1.2	16.9	1.23
0.34	0.3	0.99	2.6	30.3	3.65
0.25	0.22	0.95	1.7	21.3	2.58
0.12	0.11	0.86	0.4	9.7	0.49
0.11	0.1	0.85	0.3	8.7	0.32
0.26	0.23	0.96	1.8	22.5	2.35
0.2	0.18	0.85	1.2	15.6	0.81
0.14	0.13	0.89	0.7	11.8	0.35
0.12	0.12	0.87	0.5	10.7	0.45
0.6	0.47	0.73	5	35	4.54
0.25	0.23	1.01	1.7	23.7	4.68
