Groutability - Test							
D10(um)	D15(um)	Cu	Cz	e	FC	W/C	Groutability
2.5	9	78.00272113	6.205645875	0.679293564	0.347	3.34	0
9.5	16	10.52915784	3.664895755	0.739411303	0.33	4.65	1
18	45	19.44727052	4.861717411	0.593124804	0.18	3.34	1
78	88	3.592598075	0.554919632	0.659254317	0.079	4.65	1
13	23	9.233613607	3.141745371	0.799529042	0.32	3.34	1
35	49	3.03142692	1.813206268	0.589116954	0.217	4.65	1
18	37	6.113961078	3.233036942	0.609156201	0.248	4.65	1
0.4	0.7	130.0026279	0.556659444	0.919764521	0.977	4	0
75	82	3.736187562	0.577079343	0.599136578	0.098	4	1
2	2.3	11.50284031	0.402856878	0.969862637	0.99	4.65	0
55	120	9.093753717	2.458946578	0.469470865	0.118	4.65	1
42	70	7.859989695	1.847846908	0.569077708	0.149	4	1
16	29	7.002848374	3.30930243	0.69933281	0.287	4	1
10	19	7.80284694	6.646642432	0.69933281	0.474	4.65	0
56	72	2.11	1.199546363	0.609156201	0.155	4.65	1
13	30	8.464384216	3.727254543	0.679293564	0.293	4	1
2	2.8	28.00281074	0.586691804	0.769470173	0.913	4	0
13	31	8.464384216	4.476156203	0.659254317	0.249	4	1
18	32	6.113961078	3.233036942	0.66927394	0.271	4	1
42	60	5.479041581	1.036055285	0.659254317	0.192	4.65	1
3	3.5	5.66951743	0.397959503	0.769470173	0.9318	3.34	0
29	50	7.416640736	1.358335339	0.619175824	0.196	4	1
0.95	1.3	33.68701108	0.527207945	0.929784144	0.979	4	0
10	20	10.002843	3.721681484	0.709352433	0.363	4	1
34	53	6.767554678	1.059808438	0.559058085	0.219	4	1
0.6	0.9	86.66937226	0.329110348	0.909744898	0.984	4	0
28	49	11.25284076	1.180440913	0.629195447	0.245	4	1
19	40	9.739685574	1.82157493	0.66927394	0.282	4	1
0.2	0.4	252.5024084	1.079073583	0.889705651	0.975	4.65	0
12	28	8.669512054	5.00139837	0.609156201	0.248	4.65	1
2.6	3.1	11.92591647	0.311080106	0.829587912	0.976	4	0
3.5	9.3	58.57418452	3.079469482	0.689313187	0.37	3.34	0
3.8	4.2	10.52915784	0.323274026	0.859646782	0.985	4	0
2.1	2.6	10.24093781	0.373216818	0.949823391	0.99	4.65	0
0.5	0.8	62.0027498	0.581533734	0.989901884	0.988	4	0
51	77	2.551875959	1.509123026	0.569077708	0.142	4	1
24	32	9.377844117	1.707480985	0.649234694	0.193	4.65	1
6.7	8.2	11.49537764	3.419968681	0.759450549	0.655	4.65	0
18	26	9.336177525	1.961445718	0.66927394	0.283	4	1
9	13	8.558401142	6.672925525	0.689313187	0.649	4.65	0
2.1	2.6	12.85998073	0.327007652	0.999921507	0.996	4.65	0
13	36	7.695154825	4.099887311	0.72939168	0.303	4	1
13	28	7.541308947	3.846827077	0.749430926	0.365	4	1
31	42	4.131885777	1.654295648	0.629195447	0.238	4.65	1
80	88	4.00285375	0.56338977	0.508959969	0.073	4	1
13	23	8.079769521	3.904698718	0.649234694	0.295	4	1
0.7	1.1	44.28849584	1.018832084	0.790511381	0.79	3.34	0
19	30	6.318639074	2.8077593	0.66927394	0.251	4.65	1
